,@line,@trainHeadStation,@origTime,@destTime,@trainIdx,@bikeflag,@trainId,@load
68,ROUTE 1,MONT,7:35 AM,7:36 AM,12,1,3270642,2
69,ROUTE 2,PHIL,7:37 AM,8:10 AM,14,1,3270736,1
70,ROUTE 5,DALY,7:37 AM,7:55 AM,8,1,1150645,2
71,ROUTE 12,DUBL,7:41 AM,8:27 AM,10,1,5110722,1
72,ROUTE 1,SFIA,7:41 AM,8:14 AM,13,1,3770648,1
73,ROUTE 11,DALY,7:44 AM,8:02 AM,9,1,5170658,1
74,ROUTE 2,ANTC,7:44 AM,8:58 AM,15,1,3670711,1
75,ROUTE 1,SFIA,7:46 AM,8:19 AM,14,1,3310659,2
76,ROUTE 6,WARM,7:46 AM,8:39 AM,6,1,1110727,1
77,ROUTE 7,MLBR,7:48 AM,8:21 AM,10,1,4410712,1
78,ROUTE 8,RICH,7:50 AM,8:25 AM,7,1,4530718,1
79,ROUTE 1,MONT,7:50 AM,7:51 AM,15,1,3290657,1
80,ROUTE 2,PHIL,7:52 AM,8:26 AM,16,1,3290751,1
81,ROUTE 5,DALY,7:52 AM,8:10 AM,9,1,1170700,2
82,ROUTE 12,DUBL,7:56 AM,8:42 AM,11,1,5130737,1
83,ROUTE 1,SFIA,7:56 AM,8:29 AM,16,1,3790703,2
84,ROUTE 11,DALY,7:59 AM,8:17 AM,10,1,5190713,1
85,ROUTE 2,ANTC,7:59 AM,9:13 AM,17,1,3690726,1
86,ROUTE 1,MLBR,8:01 AM,8:34 AM,17,1,3330715,2
87,ROUTE 6,WARM,8:01 AM,8:54 AM,7,1,1130742,1
88,ROUTE 7,MLBR,8:03 AM,8:36 AM,11,1,4430727,1
89,ROUTE 8,RICH,8:05 AM,8:40 AM,8,1,4550733,1
90,ROUTE 1,DALY,8:05 AM,8:23 AM,18,1,3210727,2
91,ROUTE 5,DALY,8:07 AM,8:25 AM,10,1,1190715,2
92,ROUTE 12,DUBL,8:10 AM,8:56 AM,12,1,5150752,1
93,ROUTE 1,SFIA,8:11 AM,8:44 AM,19,1,3810718,1
94,ROUTE 2,ANTC,8:13 AM,9:28 AM,18,1,3710741,1
95,ROUTE 11,DALY,8:14 AM,8:32 AM,11,1,5010728,2
96,ROUTE 1,MLBR,8:16 AM,8:49 AM,20,1,3350730,2
97,ROUTE 6,WARM,8:16 AM,9:09 AM,8,1,1150757,1
98,ROUTE 7,MLBR,8:18 AM,8:51 AM,12,1,4450742,2
99,ROUTE 8,RICH,8:20 AM,8:55 AM,9,1,4570748,1
100,ROUTE 1,DALY,8:20 AM,8:38 AM,21,1,3230742,2
101,ROUTE 5,DALY,8:22 AM,8:40 AM,11,1,1010730,2
102,ROUTE 12,DUBL,8:25 AM,9:11 AM,13,1,5170807,1
103,ROUTE 1,SFIA,8:26 AM,8:59 AM,22,1,3830733,2
104,ROUTE 2,ANTC,8:28 AM,9:43 AM,19,1,3730756,1
105,ROUTE 11,DALY,8:29 AM,8:47 AM,12,1,5030743,2
106,ROUTE 6,WARM,8:31 AM,9:24 AM,9,1,1170812,1
107,ROUTE 7,MLBR,8:33 AM,9:06 AM,13,1,4470757,2
108,ROUTE 8,RICH,8:35 AM,9:10 AM,10,1,4590803,1
109,ROUTE 1,DALY,8:35 AM,8:53 AM,23,1,3250757,2
110,ROUTE 5,DALY,8:37 AM,8:55 AM,12,1,1030745,2
111,ROUTE 12,DUBL,8:40 AM,9:26 AM,14,1,5190822,1
112,ROUTE 1,SFIA,8:41 AM,9:14 AM,24,1,3850748,1
113,ROUTE 2,ANTC,8:43 AM,9:58 AM,20,1,3750811,1
114,ROUTE 11,DALY,8:44 AM,9:02 AM,13,1,5050758,2
115,ROUTE 6,WARM,8:46 AM,9:39 AM,10,1,1190827,1
116,ROUTE 7,MLBR,8:48 AM,9:21 AM,14,1,4490812,2
117,ROUTE 8,RICH,8:50 AM,9:25 AM,11,1,4610818,1
118,ROUTE 1,DALY,8:50 AM,9:08 AM,25,1,3270812,2
119,ROUTE 5,DALY,8:52 AM,9:10 AM,13,1,1050800,2
120,ROUTE 12,DUBL,8:55 AM,9:41 AM,15,1,5010837,1
121,ROUTE 1,SFIA,8:56 AM,9:29 AM,26,1,3610803,2
122,ROUTE 2,ANTC,8:58 AM,10:13 AM,21,1,3770826,1
123,ROUTE 11,DALY,8:59 AM,9:17 AM,14,1,5070813,2
124,ROUTE 6,WARM,9:01 AM,9:54 AM,11,1,1010842,1
125,ROUTE 7,MLBR,9:03 AM,9:36 AM,15,1,4510827,2
126,ROUTE 8,RICH,9:05 AM,9:40 AM,12,1,4410833,1
127,ROUTE 1,DALY,9:05 AM,9:23 AM,27,1,3290827,2
128,ROUTE 5,DALY,9:07 AM,9:25 AM,14,1,1070815,2
129,ROUTE 12,DUBL,9:10 AM,9:56 AM,16,1,5030852,1
130,ROUTE 1,SFIA,9:11 AM,9:44 AM,28,1,3630818,2
131,ROUTE 2,ANTC,9:13 AM,10:28 AM,22,1,3790841,1
132,ROUTE 11,DALY,9:14 AM,9:32 AM,15,1,5090828,2
133,ROUTE 6,WARM,9:16 AM,10:09 AM,12,1,1030857,1
134,ROUTE 7,MLBR,9:18 AM,9:51 AM,16,1,4530842,3
135,ROUTE 8,RICH,9:20 AM,9:55 AM,13,1,4430848,1
136,ROUTE 1,DALY,9:20 AM,9:38 AM,29,1,3370842,2
137,ROUTE 5,DALY,9:22 AM,9:40 AM,15,1,1090830,2
138,ROUTE 12,DUBL,9:25 AM,10:11 AM,17,1,5050907,1
139,ROUTE 1,SFIA,9:26 AM,9:59 AM,30,1,3650833,1
140,ROUTE 2,ANTC,9:28 AM,10:43 AM,23,1,3810856,1
141,ROUTE 11,DALY,9:29 AM,9:47 AM,16,1,5110843,2
142,ROUTE 6,WARM,9:31 AM,10:24 AM,13,1,1050912,1
143,ROUTE 7,MLBR,9:33 AM,10:06 AM,17,1,4550857,3
144,ROUTE 8,RICH,9:35 AM,10:10 AM,14,1,4450903,1
145,ROUTE 5,DALY,9:37 AM,9:55 AM,16,1,1110845,3
146,ROUTE 12,DUBL,9:40 AM,10:26 AM,18,1,5070922,1
147,ROUTE 1,SFIA,9:41 AM,10:14 AM,31,1,3670848,2
148,ROUTE 2,ANTC,9:43 AM,10:58 AM,24,1,3830911,1
149,ROUTE 11,DALY,9:44 AM,10:02 AM,17,1,5130858,2
150,ROUTE 6,WARM,9:46 AM,10:39 AM,14,1,1070927,1
151,ROUTE 7,MLBR,9:48 AM,10:21 AM,18,1,4570912,2
152,ROUTE 8,RICH,9:50 AM,10:25 AM,15,1,4470918,1
153,ROUTE 5,DALY,9:52 AM,10:10 AM,17,1,1130900,2
154,ROUTE 12,DUBL,9:55 AM,10:41 AM,19,1,5090937,1
155,ROUTE 1,SFIA,9:56 AM,10:29 AM,32,1,3690903,1
156,ROUTE 2,ANTC,9:58 AM,11:13 AM,25,1,3850926,1
157,ROUTE 11,DALY,9:59 AM,10:17 AM,18,1,5150913,2
158,ROUTE 6,WARM,10:01 AM,10:54 AM,15,1,1090942,1
159,ROUTE 7,MLBR,10:03 AM,10:36 AM,19,1,4590927,2
160,ROUTE 8,RICH,10:05 AM,10:40 AM,16,1,4490933,1
161,ROUTE 5,DALY,10:07 AM,10:25 AM,18,1,1150915,2
162,ROUTE 12,DUBL,10:10 AM,10:56 AM,20,1,5110952,1
163,ROUTE 1,SFIA,10:11 AM,10:44 AM,33,1,3710918,2
164,ROUTE 2,ANTC,10:13 AM,11:28 AM,26,1,3610941,1
165,ROUTE 11,DALY,10:14 AM,10:32 AM,19,1,5170928,1
166,ROUTE 6,WARM,10:16 AM,11:09 AM,16,1,1110957,1
167,ROUTE 7,MLBR,10:18 AM,10:51 AM,20,1,4610942,2
168,ROUTE 8,RICH,10:20 AM,10:55 AM,17,1,4510948,1
169,ROUTE 5,DALY,10:22 AM,10:40 AM,19,1,1170930,2
170,ROUTE 12,DUBL,10:25 AM,11:11 AM,21,1,5131007,1
171,ROUTE 1,SFIA,10:26 AM,10:59 AM,34,1,3730933,2
172,ROUTE 2,ANTC,10:28 AM,11:43 AM,27,1,3630956,1
173,ROUTE 11,DALY,10:29 AM,10:47 AM,20,1,5190943,1
174,ROUTE 6,WARM,10:31 AM,11:24 AM,17,1,1131012,1
175,ROUTE 7,MLBR,10:33 AM,11:06 AM,21,1,4410957,1
176,ROUTE 8,RICH,10:35 AM,11:10 AM,18,1,4531003,1
177,ROUTE 5,DALY,10:37 AM,10:55 AM,20,1,1190945,2
178,ROUTE 12,DUBL,10:40 AM,11:26 AM,22,1,5151022,1
179,ROUTE 1,SFIA,10:41 AM,11:14 AM,35,1,3750948,2
180,ROUTE 2,ANTC,10:43 AM,11:58 AM,28,1,3651011,1
181,ROUTE 11,DALY,10:44 AM,11:02 AM,21,1,5010958,1
182,ROUTE 6,WARM,10:46 AM,11:39 AM,18,1,1151027,1
183,ROUTE 7,MLBR,10:48 AM,11:21 AM,22,1,4431012,1
184,ROUTE 8,RICH,10:50 AM,11:25 AM,19,1,4551018,1
185,ROUTE 5,DALY,10:52 AM,11:10 AM,21,1,1011000,2
186,ROUTE 12,DUBL,10:55 AM,11:41 AM,23,1,5171037,1
187,ROUTE 1,SFIA,10:56 AM,11:29 AM,36,1,3771003,1
188,ROUTE 2,ANTC,10:58 AM,12:13 PM,29,1,3671026,1
189,ROUTE 11,DALY,10:59 AM,11:17 AM,22,1,5031013,2
190,ROUTE 6,WARM,11:01 AM,11:54 AM,19,1,1171042,1
191,ROUTE 7,MLBR,11:03 AM,11:36 AM,23,1,4451027,1
192,ROUTE 8,RICH,11:05 AM,11:40 AM,20,1,4571033,1
193,ROUTE 5,DALY,11:07 AM,11:25 AM,22,1,1031015,2
194,ROUTE 12,DUBL,11:10 AM,11:56 AM,24,1,5191052,1
195,ROUTE 1,SFIA,11:11 AM,11:44 AM,37,1,3791018,1
196,ROUTE 2,ANTC,11:13 AM,12:28 PM,30,1,3691041,1
197,ROUTE 11,DALY,11:14 AM,11:32 AM,23,1,5051028,1
198,ROUTE 6,WARM,11:16 AM,12:09 PM,20,1,1191057,1
199,ROUTE 7,MLBR,11:18 AM,11:51 AM,24,1,4471042,2
200,ROUTE 8,RICH,11:20 AM,11:55 AM,21,1,4591048,1
201,ROUTE 5,DALY,11:22 AM,11:40 AM,23,1,1051030,2
202,ROUTE 12,DUBL,11:25 AM,12:11 PM,25,1,5011107,1
203,ROUTE 1,SFIA,11:26 AM,11:59 AM,38,1,3811033,1
204,ROUTE 2,ANTC,11:28 AM,12:43 PM,31,1,3711056,1
205,ROUTE 11,DALY,11:29 AM,11:47 AM,24,1,5071043,2
206,ROUTE 6,WARM,11:31 AM,12:24 PM,21,1,1011112,1
207,ROUTE 7,MLBR,11:33 AM,12:06 PM,25,1,4491057,2
208,ROUTE 8,RICH,11:35 AM,12:10 PM,22,1,4611103,1
209,ROUTE 5,DALY,11:37 AM,11:55 AM,24,1,1071045,2
210,ROUTE 12,DUBL,11:40 AM,12:26 PM,26,1,5031122,1
211,ROUTE 1,SFIA,11:41 AM,12:14 PM,39,1,3831048,1
212,ROUTE 2,ANTC,11:43 AM,12:58 PM,32,1,3731111,1
213,ROUTE 11,DALY,11:44 AM,12:02 PM,25,1,5091058,1
214,ROUTE 6,WARM,11:46 AM,12:39 PM,22,1,1031127,1
215,ROUTE 7,MLBR,11:48 AM,12:21 PM,26,1,4511112,1
216,ROUTE 8,RICH,11:50 AM,12:25 PM,23,1,4411118,1
217,ROUTE 5,DALY,11:52 AM,12:10 PM,25,1,1091100,2
218,ROUTE 12,DUBL,11:55 AM,12:41 PM,27,1,5051137,1
219,ROUTE 1,SFIA,11:56 AM,12:29 PM,40,1,3851103,1
220,ROUTE 2,ANTC,11:58 AM,1:13 PM,33,1,3751126,1
221,ROUTE 11,DALY,11:59 AM,12:17 PM,26,1,5111113,1
222,ROUTE 6,WARM,12:01 PM,12:54 PM,23,1,1051142,1
223,ROUTE 7,MLBR,12:03 PM,12:36 PM,27,1,4531127,1
224,ROUTE 8,RICH,12:05 PM,12:40 PM,24,1,4431133,1
225,ROUTE 5,DALY,12:07 PM,12:25 PM,26,1,1111115,1
226,ROUTE 12,DUBL,12:10 PM,12:56 PM,28,1,5071152,1
227,ROUTE 1,SFIA,12:11 PM,12:44 PM,41,1,3611118,1
228,ROUTE 2,PITT,12:13 PM,1:05 PM,34,1,3771141,1
229,ROUTE 11,DALY,12:14 PM,12:32 PM,27,1,5131128,1
230,ROUTE 6,WARM,12:16 PM,1:09 PM,24,1,1071157,1
231,ROUTE 7,MLBR,12:18 PM,12:51 PM,28,1,4551142,1
232,ROUTE 8,RICH,12:20 PM,12:55 PM,25,1,4451148,1
233,ROUTE 5,DALY,12:22 PM,12:40 PM,27,1,1131130,1
234,ROUTE 12,DUBL,12:25 PM,1:11 PM,29,1,5091207,1
235,ROUTE 1,SFIA,12:26 PM,12:59 PM,42,1,3631133,2
236,ROUTE 2,ANTC,12:28 PM,1:36 PM,35,1,3791156,1
237,ROUTE 11,DALY,12:29 PM,12:47 PM,28,1,5151143,1
238,ROUTE 6,WARM,12:31 PM,1:24 PM,25,1,1091212,1
239,ROUTE 7,MLBR,12:33 PM,1:06 PM,29,1,4571157,1
240,ROUTE 8,RICH,12:35 PM,1:10 PM,26,1,4471203,1
241,ROUTE 5,DALY,12:37 PM,12:55 PM,28,1,1151145,1
242,ROUTE 12,DUBL,12:40 PM,1:26 PM,30,1,5111222,1
243,ROUTE 1,SFIA,12:41 PM,1:14 PM,43,1,3651148,1
244,ROUTE 2,ANTC,12:43 PM,1:51 PM,36,1,3811211,1
245,ROUTE 11,DALY,12:44 PM,1:02 PM,29,1,5171158,1
246,ROUTE 6,WARM,12:46 PM,1:39 PM,26,1,1111227,1
247,ROUTE 7,MLBR,12:48 PM,1:21 PM,30,1,4591212,1
248,ROUTE 8,RICH,12:50 PM,1:25 PM,27,1,4491218,1
249,ROUTE 5,DALY,12:52 PM,1:10 PM,29,1,1171200,1
250,ROUTE 12,DUBL,12:55 PM,1:41 PM,31,1,5131237,1
251,ROUTE 1,SFIA,12:56 PM,1:29 PM,44,1,3671203,1
252,ROUTE 2,ANTC,12:58 PM,2:06 PM,37,1,3831226,1
253,ROUTE 11,DALY,12:59 PM,1:17 PM,30,1,5191213,1
254,ROUTE 6,WARM,1:01 PM,1:54 PM,27,1,1131242,1
255,ROUTE 7,MLBR,1:03 PM,1:36 PM,31,1,4611227,1
256,ROUTE 8,RICH,1:05 PM,1:40 PM,28,1,4511233,1
257,ROUTE 5,DALY,1:07 PM,1:25 PM,30,1,1191215,1
258,ROUTE 12,DUBL,1:10 PM,1:56 PM,32,1,5151252,1
259,ROUTE 1,SFIA,1:11 PM,1:44 PM,45,1,3691218,1
260,ROUTE 2,ANTC,1:13 PM,2:21 PM,38,1,3851241,1
261,ROUTE 11,DALY,1:14 PM,1:32 PM,31,1,5011228,1
262,ROUTE 6,WARM,1:16 PM,2:09 PM,28,1,1151257,1
263,ROUTE 7,MLBR,1:18 PM,1:51 PM,32,1,4411242,1
264,ROUTE 8,RICH,1:20 PM,1:55 PM,29,1,4531248,1
265,ROUTE 5,DALY,1:22 PM,1:40 PM,31,1,1011230,1
266,ROUTE 12,DUBL,1:25 PM,2:11 PM,33,1,5171307,1
267,ROUTE 1,SFIA,1:26 PM,1:59 PM,46,1,3711233,1
268,ROUTE 2,ANTC,1:28 PM,2:36 PM,39,1,3611256,1
269,ROUTE 11,DALY,1:29 PM,1:47 PM,32,1,5031243,1
270,ROUTE 6,WARM,1:31 PM,2:24 PM,29,1,1171312,1
271,ROUTE 7,MLBR,1:33 PM,2:06 PM,33,1,4431257,1
272,ROUTE 8,RICH,1:35 PM,2:10 PM,30,1,4551303,1
273,ROUTE 5,DALY,1:37 PM,1:55 PM,32,1,1031245,1
274,ROUTE 12,DUBL,1:40 PM,2:26 PM,34,1,5191322,1
275,ROUTE 1,SFIA,1:41 PM,2:14 PM,47,1,3731248,1
276,ROUTE 2,ANTC,1:43 PM,2:51 PM,40,1,3631311,1
277,ROUTE 11,DALY,1:44 PM,2:02 PM,33,1,5051258,1
278,ROUTE 6,WARM,1:46 PM,2:39 PM,30,1,1191327,1
279,ROUTE 7,MLBR,1:48 PM,2:21 PM,34,1,4451312,1
280,ROUTE 8,RICH,1:50 PM,2:25 PM,31,1,4571318,1
281,ROUTE 5,DALY,1:52 PM,2:10 PM,33,1,1051300,1
282,ROUTE 12,DUBL,1:55 PM,2:41 PM,35,1,5011337,1
283,ROUTE 1,SFIA,1:56 PM,2:29 PM,48,1,3751303,1
284,ROUTE 2,ANTC,1:58 PM,3:06 PM,41,1,3651326,1
285,ROUTE 11,DALY,1:59 PM,2:17 PM,34,1,5071313,1
286,ROUTE 6,WARM,2:01 PM,2:54 PM,31,1,1011342,1
287,ROUTE 7,MLBR,2:03 PM,2:36 PM,35,1,4471327,1
288,ROUTE 8,RICH,2:05 PM,2:40 PM,32,1,4591333,1
289,ROUTE 5,DALY,2:07 PM,2:25 PM,34,1,1071315,1
290,ROUTE 12,DUBL,2:10 PM,2:56 PM,36,1,5031352,1
291,ROUTE 1,SFIA,2:11 PM,2:44 PM,49,1,3771318,1
292,ROUTE 2,ANTC,2:13 PM,3:21 PM,42,1,3671341,1
293,ROUTE 11,DALY,2:14 PM,2:32 PM,35,1,5091328,1
294,ROUTE 6,WARM,2:16 PM,3:09 PM,32,1,1031357,1
295,ROUTE 7,MLBR,2:18 PM,2:51 PM,36,1,4491342,1
296,ROUTE 8,RICH,2:20 PM,2:55 PM,33,1,4611348,1
297,ROUTE 5,DALY,2:22 PM,2:40 PM,35,1,1091330,1
298,ROUTE 12,DUBL,2:25 PM,3:11 PM,37,1,5051407,1
299,ROUTE 1,SFIA,2:26 PM,2:59 PM,50,1,3791333,1
300,ROUTE 2,ANTC,2:28 PM,3:36 PM,43,1,3691356,1
301,ROUTE 11,DALY,2:29 PM,2:47 PM,36,1,5111343,1
302,ROUTE 6,WARM,2:31 PM,3:24 PM,33,1,1051412,2
303,ROUTE 7,MLBR,2:33 PM,3:06 PM,37,1,4511357,1
304,ROUTE 8,RICH,2:35 PM,3:10 PM,34,1,4411403,1
305,ROUTE 5,DALY,2:37 PM,2:55 PM,36,1,1111345,1
306,ROUTE 12,DUBL,2:40 PM,3:26 PM,38,1,5071422,1
307,ROUTE 1,SFIA,2:41 PM,3:14 PM,51,1,3811348,1
308,ROUTE 2,ANTC,2:43 PM,3:51 PM,44,1,3711411,2
309,ROUTE 11,DALY,2:44 PM,3:02 PM,37,1,5131358,1
310,ROUTE 6,WARM,2:46 PM,3:39 PM,34,1,1071427,2
311,ROUTE 7,MLBR,2:48 PM,3:21 PM,38,1,4531412,1
312,ROUTE 8,RICH,2:50 PM,3:25 PM,35,1,4431418,1
313,ROUTE 5,DALY,2:52 PM,3:10 PM,37,1,1131400,1
314,ROUTE 12,DUBL,2:55 PM,3:41 PM,39,1,5091437,1
315,ROUTE 1,SFIA,2:56 PM,3:29 PM,52,1,3831403,1
316,ROUTE 2,ANTC,2:58 PM,4:06 PM,45,1,3731426,1
317,ROUTE 11,DALY,2:59 PM,3:17 PM,38,1,5151413,1
318,ROUTE 6,WARM,3:01 PM,3:54 PM,35,1,1091442,2
319,ROUTE 7,MLBR,3:03 PM,3:36 PM,39,1,4551427,1
320,ROUTE 8,RICH,3:05 PM,3:40 PM,36,1,4451433,1
321,ROUTE 5,DALY,3:07 PM,3:25 PM,38,1,1151415,1
322,ROUTE 12,DUBL,3:10 PM,3:56 PM,40,1,5111452,1
323,ROUTE 1,SFIA,3:11 PM,3:44 PM,53,1,3851418,1
324,ROUTE 2,ANTC,3:13 PM,4:21 PM,46,1,3751441,1
325,ROUTE 11,DALY,3:14 PM,3:32 PM,39,1,5171428,1
326,ROUTE 6,WARM,3:16 PM,4:09 PM,36,1,1111457,2
327,ROUTE 7,MLBR,3:18 PM,3:51 PM,40,1,4571442,1
328,ROUTE 8,RICH,3:20 PM,3:55 PM,37,1,4471448,2
329,ROUTE 5,DALY,3:22 PM,3:40 PM,39,1,1171430,1
330,ROUTE 12,DUBL,3:25 PM,4:11 PM,41,1,5131507,1
331,ROUTE 1,SFIA,3:26 PM,3:59 PM,54,1,3611433,1
332,ROUTE 2,ANTC,3:28 PM,4:36 PM,47,1,3771456,1
333,ROUTE 11,DALY,3:29 PM,3:47 PM,40,1,5191443,1
334,ROUTE 6,WARM,3:31 PM,4:24 PM,37,1,1131512,2
335,ROUTE 7,MLBR,3:33 PM,4:06 PM,41,1,4591457,1
336,ROUTE 8,RICH,3:35 PM,4:10 PM,38,1,4491503,2
337,ROUTE 5,DALY,3:37 PM,3:55 PM,40,1,1191445,1
338,ROUTE 12,DUBL,3:40 PM,4:26 PM,42,1,5151522,2
339,ROUTE 1,SFIA,3:41 PM,4:14 PM,55,1,3631448,1
340,ROUTE 2,ANTC,3:43 PM,4:51 PM,48,1,3791511,2
341,ROUTE 11,DALY,3:44 PM,4:02 PM,41,1,5011458,1
342,ROUTE 6,WARM,3:46 PM,4:39 PM,38,1,1151527,2
343,ROUTE 2,PHIL,3:47 PM,4:24 PM,49,1,3211529,1
344,ROUTE 7,MLBR,3:48 PM,4:21 PM,42,1,4611512,1
345,ROUTE 8,RICH,3:50 PM,4:25 PM,39,1,4511518,2
346,ROUTE 5,DALY,3:52 PM,4:10 PM,41,1,1011500,1
347,ROUTE 12,DUBL,3:55 PM,4:41 PM,43,1,5171537,2
348,ROUTE 1,SFIA,3:56 PM,4:29 PM,56,1,3651503,1
349,ROUTE 2,ANTC,3:58 PM,5:06 PM,50,1,3811526,2
350,ROUTE 11,DALY,3:59 PM,4:17 PM,42,1,5031513,1
351,ROUTE 6,WARM,4:01 PM,4:54 PM,39,1,1171542,2
352,ROUTE 7,MLBR,4:03 PM,4:36 PM,43,1,4411527,1
353,ROUTE 2,PITT,4:03 PM,4:55 PM,51,1,3231545,2
354,ROUTE 8,RICH,4:05 PM,4:40 PM,40,1,4531533,2
355,ROUTE 5,DALY,4:07 PM,4:25 PM,42,1,1031515,1
356,ROUTE 12,DUBL,4:10 PM,4:56 PM,44,1,5191552,2
357,ROUTE 1,SFIA,4:11 PM,4:44 PM,57,1,3671518,1
358,ROUTE 2,ANTC,4:13 PM,5:21 PM,52,1,3831541,2
359,ROUTE 11,DALY,4:14 PM,4:32 PM,43,1,5051528,1
360,ROUTE 6,WARM,4:16 PM,5:09 PM,40,1,1191557,2
