,@line,@trainHeadStation,@origTime,@destTime,@trainIdx,@bikeflag,@trainId,@load
0,ROUTE 2,ANTC,5:21 AM,6:28 AM,1,1,3730503,1
1,ROUTE 12,DUBL,5:25 AM,6:11 AM,1,1,5130507,1
2,ROUTE 2,ANTC,5:29 AM,6:43 AM,2,1,3750511,1
3,ROUTE 7,MLBR,5:35 AM,6:08 AM,1,1,4450500,2
4,ROUTE 5,DALY,5:37 AM,5:56 AM,1,1,1010501,2
5,ROUTE 12,DUBL,5:40 AM,6:26 AM,2,1,5150522,1
6,ROUTE 1,SFIA,5:42 AM,6:15 AM,1,1,3610458,2
7,ROUTE 2,ANTC,5:43 AM,6:58 AM,3,1,3770511,1
8,ROUTE 11,DALY,5:44 AM,6:02 AM,1,1,5010458,2
9,ROUTE 7,MLBR,5:48 AM,6:21 AM,2,1,4470512,1
10,ROUTE 12,DUBL,5:55 AM,6:41 AM,3,1,5170537,1
11,ROUTE 1,SFIA,5:56 AM,6:29 AM,2,1,3630503,2
12,ROUTE 2,ANTC,5:58 AM,7:13 AM,4,1,3790526,1
13,ROUTE 11,DALY,5:59 AM,6:17 AM,2,1,5030513,1
14,ROUTE 7,MLBR,6:03 AM,6:36 AM,3,1,4490527,1
15,ROUTE 5,DALY,6:07 AM,6:25 AM,2,1,1030515,2
16,ROUTE 12,DUBL,6:10 AM,6:56 AM,4,1,5190552,1
17,ROUTE 1,SFIA,6:11 AM,6:44 AM,3,1,3650518,2
18,ROUTE 2,ANTC,6:13 AM,7:28 AM,5,1,3810541,1
19,ROUTE 11,DALY,6:14 AM,6:32 AM,3,1,5050528,1
20,ROUTE 7,MLBR,6:18 AM,6:51 AM,4,1,4510542,1
21,ROUTE 8,RICH,6:20 AM,6:55 AM,1,1,4410547,1
22,ROUTE 5,DALY,6:22 AM,6:40 AM,3,1,1050530,1
23,ROUTE 12,DUBL,6:25 AM,7:11 AM,5,1,5010607,1
24,ROUTE 1,SFIA,6:26 AM,6:59 AM,4,1,3670533,1
25,ROUTE 2,ANTC,6:28 AM,7:43 AM,6,1,3830556,1
26,ROUTE 11,DALY,6:29 AM,6:47 AM,4,1,5070543,1
27,ROUTE 6,WARM,6:31 AM,7:24 AM,1,1,1010612,1
28,ROUTE 7,MLBR,6:33 AM,7:06 AM,5,1,4530557,1
29,ROUTE 8,RICH,6:35 AM,7:10 AM,2,1,4430602,1
30,ROUTE 5,DALY,6:37 AM,6:55 AM,4,1,1070545,1
31,ROUTE 12,DUBL,6:40 AM,7:26 AM,6,1,5030622,1
32,ROUTE 1,SFIA,6:41 AM,7:14 AM,5,1,3690548,1
33,ROUTE 2,ANTC,6:43 AM,7:58 AM,7,1,3850611,1
34,ROUTE 11,DALY,6:44 AM,7:02 AM,5,1,5090558,1
35,ROUTE 6,WARM,6:46 AM,7:39 AM,2,1,1030627,1
36,ROUTE 7,MLBR,6:48 AM,7:21 AM,6,1,4550612,1
37,ROUTE 8,RICH,6:50 AM,7:25 AM,3,1,4450618,1
38,ROUTE 1,MONT,6:51 AM,6:52 AM,6,1,3210613,1
39,ROUTE 5,DALY,6:52 AM,7:10 AM,5,1,1090600,1
40,ROUTE 2,PHIL,6:53 AM,7:26 AM,8,1,3210652,1
41,ROUTE 12,DUBL,6:56 AM,7:42 AM,7,1,5050637,1
42,ROUTE 1,SFIA,6:56 AM,7:29 AM,7,1,3710603,1
43,ROUTE 11,DALY,6:59 AM,7:17 AM,6,1,5110613,1
44,ROUTE 2,ANTC,6:59 AM,8:13 AM,9,1,3610626,1
45,ROUTE 6,WARM,7:01 AM,7:54 AM,3,1,1050642,1
46,ROUTE 7,MLBR,7:03 AM,7:36 AM,7,1,4570627,1
47,ROUTE 8,RICH,7:05 AM,7:40 AM,4,1,4470633,1
48,ROUTE 1,MONT,7:06 AM,7:07 AM,8,1,3230628,2
49,ROUTE 5,DALY,7:07 AM,7:25 AM,6,1,1110615,1
50,ROUTE 2,PHIL,7:08 AM,7:41 AM,10,1,3230707,1
51,ROUTE 12,DUBL,7:11 AM,7:57 AM,8,1,5070652,1
52,ROUTE 1,SFIA,7:11 AM,7:44 AM,9,1,3730618,1
53,ROUTE 11,DALY,7:14 AM,7:32 AM,7,1,5130628,1
54,ROUTE 2,ANTC,7:14 AM,8:28 AM,11,1,3630641,1
55,ROUTE 6,WARM,7:16 AM,8:09 AM,4,1,1070657,1
56,ROUTE 7,MLBR,7:18 AM,7:51 AM,8,1,4590642,1
57,ROUTE 8,RICH,7:20 AM,7:55 AM,5,1,4490648,1
58,ROUTE 1,MONT,7:21 AM,7:22 AM,10,1,3250643,1
59,ROUTE 5,DALY,7:22 AM,7:40 AM,7,1,1130630,1
60,ROUTE 2,PHIL,7:23 AM,7:56 AM,12,1,3250722,1
61,ROUTE 12,DUBL,7:26 AM,8:12 AM,9,1,5090707,1
62,ROUTE 1,SFIA,7:26 AM,7:59 AM,11,1,3750633,1
63,ROUTE 11,DALY,7:29 AM,7:47 AM,8,1,5150643,1
64,ROUTE 2,ANTC,7:29 AM,8:43 AM,13,1,3650656,1
65,ROUTE 6,WARM,7:31 AM,8:24 AM,5,1,1090712,1
66,ROUTE 7,MLBR,7:33 AM,8:06 AM,9,1,4610657,1
67,ROUTE 8,RICH,7:35 AM,8:10 AM,6,1,4510703,1
