,time,length
152,2019-08-30 18:16:46-07:00,10
153,2019-08-30 19:33:01-07:00,10
154,2019-08-30 19:44:01-07:00,10
155,2019-08-30 20:00:01-07:00,10
156,2019-08-30 19:45:01-07:00,9
157,2019-08-30 20:00:01-07:00,8
158,2019-08-30 20:22:01-07:00,9
159,2019-08-30 19:47:01-07:00,10
160,2019-08-30 20:06:01-07:00,10
161,2019-08-30 20:26:01-07:00,10
162,2019-08-30 19:34:01-07:00,10
163,2019-08-30 19:49:01-07:00,10
164,2019-08-30 20:03:01-07:00,9
165,2019-08-30 19:37:01-07:00,10
166,2019-08-30 19:51:01-07:00,9
167,2019-08-30 20:13:01-07:00,10
168,2019-08-30 19:32:01-07:00,10
169,2019-08-30 19:42:01-07:00,10
170,2019-08-30 19:57:01-07:00,10
171,2019-08-30 20:30:01-07:00,10
172,2019-08-30 20:50:01-07:00,10
173,2019-08-30 19:30:01-07:00,10
174,2019-08-30 19:44:01-07:00,10
175,2019-08-30 20:00:01-07:00,10
176,2019-08-30 19:30:01-07:00,10
177,2019-08-30 19:45:01-07:00,9
178,2019-08-30 20:00:01-07:00,8
179,2019-08-30 19:29:01-07:00,9
180,2019-08-30 19:47:01-07:00,10
181,2019-08-30 20:06:01-07:00,10
182,2019-08-30 19:34:01-07:00,10
183,2019-08-30 19:49:01-07:00,10
184,2019-08-30 20:03:01-07:00,10
185,2019-08-30 19:22:01-07:00,9
186,2019-08-30 19:36:01-07:00,10
187,2019-08-30 19:51:01-07:00,9
188,2019-08-30 19:32:01-07:00,10
189,2019-08-30 19:42:01-07:00,10
190,2019-08-30 19:57:01-07:00,10
191,2019-08-30 20:30:01-07:00,10
192,2019-08-30 20:50:01-07:00,10
193,2019-08-30 19:14:01-07:00,10
194,2019-08-30 19:29:01-07:00,10
195,2019-08-30 19:44:01-07:00,10
196,2019-08-30 19:15:01-07:00,10
197,2019-08-30 19:30:01-07:00,10
198,2019-08-30 19:45:01-07:00,9
199,2019-08-30 19:01:01-07:00,10
200,2019-08-30 19:13:01-07:00,9
201,2019-08-30 19:27:01-07:00,9
202,2019-08-30 19:03:01-07:00,10
203,2019-08-30 19:19:01-07:00,9
204,2019-08-30 19:34:01-07:00,10
205,2019-08-30 19:06:01-07:00,8
206,2019-08-30 19:22:01-07:00,9
207,2019-08-30 19:36:01-07:00,10
208,2019-08-30 19:13:01-07:00,9
209,2019-08-30 19:18:01-07:00,0
210,2019-08-30 19:30:01-07:00,10
211,2019-08-30 20:30:01-07:00,10
212,2019-08-30 19:08:01-07:00,10
213,2019-08-30 19:17:01-07:00,10
214,2019-08-30 19:16:01-07:00,10
215,2019-08-30 19:29:01-07:00,10
216,2019-08-30 19:44:01-07:00,10
217,2019-08-30 19:15:01-07:00,10
218,2019-08-30 19:30:01-07:00,10
219,2019-08-30 19:45:01-07:00,9
220,2019-08-30 19:13:01-07:00,9
221,2019-08-30 19:27:01-07:00,9
222,2019-08-30 19:47:01-07:00,9
223,2019-08-30 19:21:01-07:00,9
224,2019-08-30 19:34:01-07:00,10
225,2019-08-30 19:49:01-07:00,10
226,2019-08-30 19:22:01-07:00,9
227,2019-08-30 19:36:01-07:00,10
228,2019-08-30 19:51:01-07:00,9
229,2019-08-30 19:13:01-07:00,9
230,2019-08-30 19:18:01-07:00,0
231,2019-08-30 19:30:01-07:00,10
232,2019-08-30 20:30:01-07:00,10
233,2019-08-30 19:18:01-07:00,10
234,2019-08-30 22:41:31-07:00,10
235,2019-08-30 23:05:31-07:00,10
236,2019-08-30 23:29:31-07:00,10
237,2019-08-30 22:42:31-07:00,10
238,2019-08-30 23:05:31-07:00,8
239,2019-08-30 23:11:31-07:00,10
240,2019-08-30 22:48:31-07:00,9
241,2019-08-30 23:12:31-07:00,10
242,2019-08-30 22:34:31-07:00,10
243,2019-08-30 23:18:31-07:00,10
244,2019-08-30 22:55:31-07:00,10
245,2019-08-30 22:46:31-07:00,10
246,2019-08-30 23:10:31-07:00,10
247,2019-08-30 23:34:31-07:00,10
248,2019-08-30 22:36:31-07:00,10
249,2019-08-30 22:21:31-07:00,10
250,2019-08-30 22:41:31-07:00,10
251,2019-08-30 23:05:31-07:00,10
252,2019-08-30 22:41:31-07:00,10
253,2019-08-30 23:05:31-07:00,8
254,2019-08-30 23:29:31-07:00,9
255,2019-08-30 22:25:31-07:00,10
256,2019-08-30 22:48:31-07:00,9
257,2019-08-30 23:12:31-07:00,10
258,2019-08-30 22:34:31-07:00,10
259,2019-08-30 23:18:31-07:00,10
260,2019-08-30 22:55:31-07:00,10
261,2019-08-30 22:26:31-07:00,10
262,2019-08-30 22:46:31-07:00,10
263,2019-08-30 23:10:31-07:00,10
264,2019-08-30 22:36:31-07:00,10
265,2019-08-30 18:44:01-07:00,10
266,2019-08-30 19:01:01-07:00,10
267,2019-08-30 19:14:01-07:00,10
268,2019-08-30 18:45:01-07:00,9
269,2019-08-30 19:00:01-07:00,10
270,2019-08-30 19:15:01-07:00,10
271,2019-08-30 18:42:01-07:00,10
272,2019-08-30 18:59:01-07:00,9
273,2019-08-30 19:11:01-07:00,9
274,2019-08-30 18:51:01-07:00,9
275,2019-08-30 19:03:01-07:00,10
276,2019-08-30 19:18:01-07:00,10
277,2019-08-30 18:52:01-07:00,10
